2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['小说', '7402975', 'https://book.douban.com/tag/小说', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['文学', '2972735', 'https://book.douban.com/tag/文学', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['外国文学', '2920878', 'https://book.douban.com/tag/外国文学', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['经典', '1829500', 'https://book.douban.com/tag/经典', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['中国文学', '1729959', 'https://book.douban.com/tag/中国文学', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['随笔', '1564610', 'https://book.douban.com/tag/随笔', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['日本文学', '1307877', 'https://book.douban.com/tag/日本文学', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['散文', '933791', 'https://book.douban.com/tag/散文', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['村上春树', '534638', 'https://book.douban.com/tag/村上春树', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['诗歌', '499202', 'https://book.douban.com/tag/诗歌', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['童话', '413481', 'https://book.douban.com/tag/童话', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['名著', '409366', 'https://book.douban.com/tag/名著', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['儿童文学', '400155', 'https://book.douban.com/tag/儿童文学', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['古典文学', '363919', 'https://book.douban.com/tag/古典文学', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['余华', '341842', 'https://book.douban.com/tag/余华', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['王小波', '302245', 'https://book.douban.com/tag/王小波', 1]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['当代文学', '282995', 'https://book.douban.com/tag/当代文学', 1]
