2022-09-22 19:17:19 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag>
2022-09-22 19:17:20 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/?view=cloud>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%A4%BE%E4%BC%9A>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E8%89%BA%E6%9C%AF>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E6%96%87%E5%8C%96>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E4%BC%A0%E8%AE%B0>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%A4%BE%E4%BC%9A%E5%AD%A6>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%93%B2%E5%AD%A6>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%BF%83%E7%90%86%E5%AD%A6>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%8E%86%E5%8F%B2>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%8E%8B%E6%9C%94>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E4%BD%99%E7%A7%8B%E9%9B%A8>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E6%B2%A7%E6%9C%88>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E9%AB%98%E6%9C%A8%E7%9B%B4%E5%AD%90>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%8F%A4%E9%BE%99>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E6%A0%A1%E5%9B%AD>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%BC%A0%E5%B0%8F%E5%A8%B4>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%A8%8B%E5%BA%8F>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://sec.douban.com/b?r=https%3A%2F%2Fbook.douban.com%2Ftag%2F%25E4%25BC%25A0%25E8%25AE%25B0>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/UCD>
2022-09-22 19:17:21 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/36019350/>
2022-09-22 19:17:22 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35950257/>
2022-09-22 19:17:22 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/27073705/>
2022-09-22 19:17:22 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35671921/>
2022-09-22 19:17:22 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/6802393/>
2022-09-22 19:17:24 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/25780308/>
2022-09-22 19:17:24 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/1045247/>
2022-09-22 19:17:24 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/1089515/>
2022-09-22 19:17:24 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/1089513/>
2022-09-22 19:17:25 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/27055156/>
2022-09-22 19:17:25 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35934902/>
2022-09-22 19:17:26 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/26423309/>
2022-09-22 19:17:26 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35565067/>
2022-09-22 19:17:26 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '花城出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:26 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/2043396/>
2022-09-22 19:17:26 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '上海译文出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:26 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://sec.douban.com/b?r=https%3A%2F%2Fbook.douban.com%2Fsubject%2F6802393%2F>
2022-09-22 19:17:27 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/26699778/>
2022-09-22 19:17:27 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/25864478/>
2022-09-22 19:17:27 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35916109/>
2022-09-22 19:17:28 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35915127/>
2022-09-22 19:17:28 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '生活·读书·新知三联书店' for column 'pub_time' at row 1")
2022-09-22 19:17:28 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '北京联合出版公司' for column 'pub_time' at row 1")
2022-09-22 19:17:28 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/27129662/>
2022-09-22 19:17:29 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '电子工业出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:29 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35925625/>
2022-09-22 19:17:29 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '九州出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35797151/>
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35911208/>
2022-09-22 19:17:30 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '趙秋鳳' for column 'pub_time' at row 1")
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35952940/>
2022-09-22 19:17:30 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '珠海出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35941942/>
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35769244/>
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/34948951/>
2022-09-22 19:17:30 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '电子工业出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:30 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '蕪村' for column 'pub_time' at row 1")
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35926207/>
2022-09-22 19:17:30 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/27591495/>
2022-09-22 19:17:30 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '珠海出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:31 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35799744/>
2022-09-22 19:17:31 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35810277/>
2022-09-22 19:17:31 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35785629/>
2022-09-22 19:17:31 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '湖南文艺出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:31 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '湖南人民出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:32 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35514115/>
2022-09-22 19:17:32 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35909191/>
2022-09-22 19:17:32 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '上海古籍出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:32 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '南海出版公司' for column 'pub_time' at row 1")
2022-09-22 19:17:32 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35921556/>
2022-09-22 19:17:32 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1292, "Incorrect datetime value: '中信出版社' for column 'pub_time' at row 1")
2022-09-22 19:17:32 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://sec.douban.com/b?r=https%3A%2F%2Fbook.douban.com%2Fsubject%2F35941942%2F>
2022-09-22 19:28:01 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag>
2022-09-22 19:28:02 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/>
2022-09-22 19:28:51 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag>
2022-09-22 19:29:04 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/?view=cloud>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%8E%86%E5%8F%B2>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%8E%8B%E6%9C%94>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E4%BD%99%E7%A7%8B%E9%9B%A8>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E6%B2%A7%E6%9C%88>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E9%AB%98%E6%9C%A8%E7%9B%B4%E5%AD%90>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%8F%A4%E9%BE%99>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E6%A0%A1%E5%9B%AD>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%BC%A0%E5%B0%8F%E5%A8%B4>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%B9%BE%E7%B1%B3>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/J.K.%E7%BD%97%E7%90%B3>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E5%87%A0%E7%B1%B3>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E9%9D%92%E6%98%A5%E6%96%87%E5%AD%A6>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E9%83%AD%E6%95%AC%E6%98%8E>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E9%AD%94%E5%B9%BB>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E8%BD%BB%E5%B0%8F%E8%AF%B4>
2022-09-22 19:29:05 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%A8%8B%E5%BA%8F>
2022-09-22 19:29:06 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/UCD>
2022-09-22 19:29:06 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/%E7%A5%9E%E7%BB%8F%E7%BD%91%E7%BB%9C>
2022-09-22 19:29:06 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/tag/UE>
2022-09-22 19:29:06 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35671921/>
2022-09-22 19:29:06 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/10434849/>
2022-09-22 19:29:06 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/25985021/>
2022-09-22 19:29:07 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/25864478/>
2022-09-22 19:29:07 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/2295163/>
2022-09-22 19:29:08 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/30407912/>
2022-09-22 19:29:08 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35923005/>
2022-09-22 19:29:08 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/27055156/>
2022-09-22 19:29:08 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/2157554/>
2022-09-22 19:29:09 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/26818782/>
2022-09-22 19:29:09 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/1461652/>
2022-09-22 19:29:09 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/21979017/>
2022-09-22 19:29:11 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/26423309/>
2022-09-22 19:29:11 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/35565067/>
2022-09-22 19:29:11 | MainProcess | MainThread | mysql.py | mysql.__edit:81 | ERROR: 操作失败: (1366, "Incorrect decimal value: '48.00元' for column 'price' at row 1")
2022-09-22 19:29:11 | MainProcess | MainThread | middlewares.py | middlewares.process_request:16 | INFO: <GET https://book.douban.com/subject/2043396/>
2022-09-22 19:32:44 | MainProcess | MainThread | book.py | book.parse_item:39 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%93%B2%E5%AD%A6
2022-09-22 19:34:38 | MainProcess | MainThread | book.py | book.parse_item:39 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E9%83%AD%E6%95%AC%E6%98%8E
2022-09-22 19:34:38 | MainProcess | MainThread | book.py | book.parse_item:40 | ERROR: None
2022-09-22 19:34:38 | MainProcess | MainThread | book.py | book.parse_item:39 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%A8%8B%E5%BA%8F
2022-09-22 19:34:38 | MainProcess | MainThread | book.py | book.parse_item:40 | ERROR: None
2022-09-22 20:18:04 | MainProcess | MainThread | book.py | book.parse_item:66 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%A9%BF%E8%B6%8A
2022-09-22 20:18:04 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: None
2022-09-22 20:19:41 | MainProcess | MainThread | book.py | book.parse_item:66 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BA%BA%E9%99%85%E5%85%B3%E7%B3%BB
2022-09-22 20:19:41 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: None
2022-09-22 20:19:45 | MainProcess | MainThread | book.py | book.parse_item:66 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%B8%AD%E5%9B%BD%E5%8E%86%E5%8F%B2
2022-09-22 20:19:45 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: None
2022-09-22 20:19:46 | MainProcess | MainThread | book.py | book.parse_item:66 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BB%BA%E7%AD%91
2022-09-22 20:19:46 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: None
2022-09-22 20:28:59 | MainProcess | MainThread | book.py | book.parse_item:66 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%B0%8F%E8%AF%B4%E8%AE%BA
2022-09-22 20:28:59 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: None
