2022-09-26 13:18:07 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%AF%97%E8%AF%8D
2022-09-26 13:18:39 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%AE%97%E6%95%99
2022-09-26 13:19:24 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%8A%95%E8%B5%84
2022-09-26 13:19:29 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%A7%91%E6%8A%80
2022-09-26 14:12:08 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%A4%96%E5%9B%BD%E6%96%87%E5%AD%A6
2022-09-26 14:12:11 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%8E%8B%E5%B0%8F%E6%B3%A2
2022-09-26 14:12:16 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%AF%97%E8%AF%8D
2022-09-26 14:12:16 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%8C%A8%E5%A8%81%E6%A0%BC
2022-09-26 14:12:18 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BC%A0%E7%88%B1%E7%8E%B2
2022-09-26 14:12:18 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BB%98%E6%9C%AC
2022-09-26 14:12:18 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E9%9D%92%E6%98%A5
2022-09-26 14:12:18 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%82%AC%E7%96%91
2022-09-26 14:12:19 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%8E%A8%E7%90%86%E5%B0%8F%E8%AF%B4
2022-09-26 14:12:19 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%97%A5%E6%9C%AC%E6%BC%AB%E7%94%BB
2022-09-26 14:12:19 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BD%91%E7%BB%9C%E5%B0%8F%E8%AF%B4
2022-09-26 14:12:19 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E9%9F%A9%E5%AF%92
2022-09-26 14:12:23 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E9%B2%81%E8%BF%85
2022-09-26 14:12:24 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BC%A0%E8%AE%B0
2022-09-26 14:12:24 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%89%BA%E6%9C%AF
2022-09-26 14:12:25 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%AE%BE%E8%AE%A1
2022-09-26 14:12:26 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%94%BF%E6%B2%BB%E5%AD%A6
2022-09-26 14:12:26 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%AE%97%E6%95%99
2022-09-26 14:12:28 | MainProcess | MainThread | book.py | book.parse_item:78 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%9B%9E%E5%BF%86%E5%BD%95
2022-09-26 14:22:55 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%96%87%E5%AD%A6?start=0
